rank,priority_score,firm_name,frn,size_tier,adviser_count,total_reviews,top_rated_advisers,adviser_types,phone,postcode,website,cities_count,data_confidence,size_score,permission_score,distribution_score,top_mandate_category,top_mandate_score,fca_status,companies_house,fca_enriched,advises_retail,pension_transfers,manages_investments
12,58.6,Succession Wealth,510054,tier_2,33,1167,9,ifa|mortgage_adviser,+4401752968500,PL6 5FL,www.successionadvisoryservices.com,21,1.0,65,65,55,multi_asset_growth,38,Authorised,06711051,True,True,False,True
13,58.2,Flying Colours Advice Limited,672022,tier_2,16,461,7,ifa,+443332419900,RG12 2AA,www.fcadvice.co.uk,6,1.0,46,90,48,multi_asset_cautious,40,Authorised,09075635,True,True,True,False
14,57.2,Ascot Wealth Management,551744,tier_3,5,701,3,ifa,+4401344851250,SL5 0ER,www.ascotwm.com,1,1.0,38,100,40,multi_asset_cautious,40,Authorised,07428369,True,True,True,True
15,56.8,Amber River Shipman Wealth,456896,tier_3,9,163,1,ifa,+448081754433,EX5 2FN,www.amberriver.com/sw,3,1.0,35,100,48,multi_asset_cautious,40,Authorised,02837635,True,True,True,True
16,55.9,One Financial Solutions,607130,tier_2,25,1933,21,ifa|mortgage_adviser,+4401372940640,RH2 9HZ,www.onefinancialsolutions.co.uk,18,0.88,66,60,55,multi_asset_cautious,30,Appointed representative,08141263,True,,,
17,55.8,Radiant Financial Planning Ltd,192396,tier_3,5,189,4,ifa,+441858469910,LE16 7QU,http://www.radiantfinancial.co.uk/,5,1.0,40,90,48,multi_asset_cautious,40,Authorised,03916451,True,True,True,False
18,55.5,One Four Nine Wealth Limited,931954,tier_2,23,869,14,ifa|mortgage_adviser,+4403330444149,W1J 8DZ,https://www.onefourninegroup.co.uk/,5,1.0,59,65,48,multi_asset_growth,38,Authorised,11871594,True,True,False,True
19,55.0,Apogee Wealth Management Ltd,503713,tier_3,10,321,8,ifa,+4401565757811,WA16 8GS,www.apogeewealth.co.uk,1,1.0,40,90,40,multi_asset_cautious,40,Authorised,06925283,True,True,True,False
20,55.0,Fairstone Financial Management Limited,475973,tier_3,5,475,2,ifa,+4401915196000,EC1V 2QH,www.fairstone.co.uk,5,1.0,38,90,48,multi_asset_cautious,40,Authorised,05574120,True,True,True,False
21,54.9,Argentis Wealth Management,,tier_1,68,4215,49,fa_restricted|ifa,02381159951,,,18,0.38,71,60,25,multi_asset_cautious,30,,,False,,,
22,54.6,Hartley Ross,924765,tier_3,5,347,3,ifa|mortgage_adviser,+443300581898,SL9 9EW,www.hartleyross.com,3,1.0,37,90,48,multi_asset_cautious,40,Authorised,12503797,True,True,True,False
23,54.4,William Highbourne Wealth Management Ltd,917125,tier_3,4,215,4,ifa,+441395207350,EX8 2SH,www.williamhighbourne.com,2,1.0,31,100,40,multi_asset_cautious,40,Authorised,07193496,True,True,True,True
24,54.2,InterestMe Financial Planning Ltd,542680,tier_3,5,744,5,ifa,+442038580660,EC3N 3AX,http://www.interestme.co.uk/,1,1.0,38,90,40,multi_asset_cautious,40,Authorised,07310886,True,True,True,False
25,54.1,The Private Office,,tier_2,48,5407,42,ifa,03300388942,,,19,0.38,69,60,25,multi_asset_cautious,30,,,False,,,
26,53.8,GPFM,195615,tier_3,6,449,4,ifa,+4401992500261,SG14 1JA,gpfm.co.uk,2,1.0,37,90,40,multi_asset_cautious,40,Authorised,04179541,True,True,True,False
27,53.8,The Aspire Partnership LLP,518833,tier_3,5,391,5,ifa,+4401179303510,RH16 1TX,www.aspirellp.co.uk,2,1.0,37,90,40,multi_asset_cautious,40,See full details,OC351804,True,True,True,False
28,53.2,Amber River Leodis Wealth,779397,tier_3,10,161,2,ifa,+4401246903053,S40 1LA,www.milestonefp.co.uk,3,1.0,41,80,48,multi_asset_cautious,40,Authorised,04517317,True,True,True,False
29,53.2,IronMarket Wealth,620330,tier_3,3,485,3,ifa,+4401782461563,ST5 9QA,www.net-worthntwrk.com/,1,1.0,28,100,40,multi_asset_cautious,40,See full details,08411874,True,True,True,True
30,52.8,Wise Investment,230553,tier_3,3,104,0,fa_restricted|ifa,+4401608695100,OX7 5QR,www.wiseinvestment.co.uk,2,1.0,27,100,40,multi_asset_cautious,40,Authorised,04970458,True,True,True,True
31,52.6,Foster Denovo Limited,462728,tier_3,9,393,5,fa_restricted|mortgage_adviser,+4402074692800,EC3R 8HL,www.fosterdenovo.com,3,1.0,37,90,38,multi_asset_cautious,35,Authorised,05970987,True,True,True,False
32,52.6,Lucent Financial Planning Ltd,945107,tier_3,5,441,4,ifa,+441217051000,B91 3AB,www.lucentfinancialplanning.co.uk,1,1.0,34,90,40,multi_asset_cautious,40,Authorised,08191924,True,True,True,False
33,52.5,Attivo Financial Ltd,,tier_2,39,2347,38,ifa,03300388942,,,15,0.38,65,60,25,multi_asset_cautious,30,,,False,,,
34,52.4,"Raymond James, Hitchin",124412,tier_3,2,350,2,ifa,+4402077398200,EC2Y 9LY,www.charles-stanley.co.uk,1,1.0,26,100,40,multi_asset_cautious,40,See full details,01903304,True,True,True,True
35,52.0,Isio Wealth Planning,196669,tier_3,7,223,1,ifa,+447500993506,EC2V 7EE,www.isio.com,5,1.0,38,80,48,multi_asset_cautious,40,Authorised,03981512,True,False,True,True
36,51.8,Fingerprint Financial Planning,481803,tier_3,5,115,2,ifa|mortgage_adviser,+4403452100100,ME4 4TZ,www.ff-p.co.uk,1,1.0,32,90,40,multi_asset_cautious,40,Authorised,06039623,True,True,True,False
37,51.8,Rowley Turton (IFA) Limited,457946,tier_3,3,708,3,ifa,+4401162822177,LE19 1WL,www.rowleyturton.com,1,1.0,32,90,40,multi_asset_cautious,40,Authorised,03145431,True,True,True,False
38,51.7,AFH Wealth Management,,tier_2,34,1679,18,ifa,03300388942,,,26,0.38,63,60,25,multi_asset_cautious,30,,,False,,,
39,50.9,Sandringham Financial Partners,,tier_2,23,1613,22,ifa,03300388942,,,17,0.38,61,60,25,multi_asset_cautious,30,,,False,,,
40,50.8,Fowler Drew,402423,tier_4,2,41,2,ifa,+4402077362434,EC4N 7HR,www.fowlerdrew.co.uk,1,1.0,22,100,40,multi_asset_cautious,40,Authorised,04384956,True,True,True,True
41,50.8,Cobens Wealth Management,484450,tier_4,1,100,1,ifa,+442071188777,ME15 6LG,www.cobensgroup.co.uk,1,1.0,22,100,40,multi_asset_cautious,40,Authorised,05850981,True,True,True,True
42,50.8,Saltus Partnership Limited,402531,tier_4,1,220,1,ifa,+4402074990200,W1T 1HJ,www.saltus.co.uk,1,1.0,22,100,40,multi_asset_cautious,40,Authorised,OC308328,True,True,True,True
43,50.6,Niche Private Clients,748261,tier_3,3,303,1,ifa,+4401633851805,NP20 5NT,www.nichepc.co.uk,2,1.0,29,90,40,multi_asset_cautious,40,Authorised,10072360,True,True,True,False
44,50.6,Blackstone Financial Management Limited,630530,tier_3,2,130,2,ifa,+441614828285,CV35 7AD,blackstonefm.com,2,1.0,29,90,40,multi_asset_cautious,40,Authorised,09071142,True,True,True,False
45,50.6,Willow Financial Planning Limited,577482,tier_3,2,134,1,ifa,+4401702442198,CO4 5AB,www.willowfinancial.co.uk,2,1.0,29,90,40,multi_asset_cautious,40,Authorised,07907502,True,True,True,False
46,50.4,Capital Financial Markets Limited,760840,tier_4,4,0,0,fa_restricted|ifa,+4402036970560,AL3 4PQ,www.capitalfinancialmarkets.co.uk,3,0.88,19,100,48,multi_asset_cautious,40,Authorised,08224800,True,True,True,True
47,50.3,Stephenson Johnson Financial Planning Ltd,419684,tier_3,4,540,3,ifa,+4401482308874,HU13 9PB,,1,0.88,32,90,25,multi_asset_cautious,40,Authorised,05269611,True,True,True,False
48,50.2,Tailored Financial Planning Ltd,720808,tier_3,4,396,4,ifa,+441744757648,WA10 1SX,http://www.tailoredfp.co.uk/,1,1.0,28,90,40,multi_asset_cautious,40,Authorised,09707423,True,True,True,False
49,50.2,Bluesky Chartered Financial Planners,914561,tier_3,4,259,3,ifa,+441189876655,RG41 5DF,www.blueskyifas.co.uk,1,1.0,28,90,40,multi_asset_cautious,40,Authorised,11936113,True,True,True,False
50,50.2,Walden Capital,491834,tier_3,3,423,3,ifa,+4401799521017,CB10 1AT,www.waldencapital.co.uk,1,1.0,28,90,40,multi_asset_cautious,40,See full details,06458084,True,True,True,False
51,50.2,Insight Wealth Financial Advisers Ltd,941825,tier_3,3,332,3,ifa,+441604316101,NN7 2DT,www.insightwealth.co.uk,1,1.0,28,90,40,multi_asset_cautious,40,Authorised,12948998,True,True,True,False
52,50.0,MVAM Financial Advice,613008,tier_3,4,24,1,fa_restricted,+4401306776999,E20 1JN,mvam.com,2,1.0,25,100,30,multi_asset_cautious,35,See full details,08600041,True,True,True,True
53,50.0,EQ Investors,539422,tier_4,3,45,0,fa_restricted,+442074887110,SW12 9NS,www.eqinvestors.co.uk,3,1.0,23,100,38,multi_asset_cautious,35,Authorised,07223330,True,True,True,True
54,50.0,Clarity Wealth Limited,185468,tier_4,1,158,0,ifa,+4408003687511,GU21 6HR,www.clarityglobal.com,1,1.0,20,100,40,multi_asset_cautious,40,Authorised,03466459,True,True,True,True
55,49.8,Ecclesiastical Financial Advisory Services Limited,126123,tier_3,4,24,2,ifa,+443457773322,GL3 4AW,www.ecclesiastical.com,3,1.0,25,90,48,multi_asset_cautious,40,Authorised,02046087,True,True,True,False
56,49.5,Owl Financial,,tier_1,36,2347,30,fa_restricted|protection_limited|protection_whole_of_market,01132385317,,,23,0.38,70,50,15,multi_asset_cautious,25,,,False,,,
57,49.4,Prydis Wealth Limited,432014,tier_3,5,49,0,ifa|mortgage_adviser,+4401392432431,EX1 1NT,www.prydis.com,1,1.0,26,90,40,multi_asset_cautious,40,See full details,04319996,True,True,True,False
58,49.4,Whateley Wealth Management Ltd,715678,tier_3,3,229,2,ifa,+441212858528,B45 8AS,www.whateleywm.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,09125961,True,True,True,False
59,49.4,Clear Financial Advice,447235,tier_3,2,395,2,ifa,+4401268710720,CM11 1PU,www.clearifa.com,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,05070654,True,True,True,False
60,49.4,Engage Financial Services Ltd,942618,tier_3,2,128,2,ifa,+4401273076587,BN1 4BH,www.engagewm.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,13010558,True,True,True,False
61,49.4,Profusion Wealth Management Limited,487395,tier_3,2,290,2,ifa,+441326210904,DE1 1EE,www.visionifp.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,06650476,True,True,True,False
62,49.4,MHW,830162,tier_3,2,173,2,ifa,+441519286778,L3 9NY,http://www.mhwifa.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,09305214,True,True,True,False
63,49.4,Fogwill & Jones Wealth Management,433208,tier_3,2,231,1,ifa,+4401142588899,S8 0TB,www.fogwillandjones.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,05459286,True,True,True,False
64,49.4,Engage Wealth Management,942618,tier_3,2,112,2,ifa,+4401273076587,BN1 4BH,www.engagewm.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,13010558,True,True,True,False
65,49.4,Saulsbury Independent Financial Planning Ltd,789577,tier_3,2,238,1,ifa,+441872560358,TR4 8UN,www.saulsburyifp.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,10391786,True,True,True,False
66,49.2,MPL Wealth Management Limited,180309,tier_4,1,78,1,ifa,+4402078314711,WC1N 2LR,https://www.mplwealthmanagement.co.uk,1,1.0,18,100,40,multi_asset_cautious,40,Authorised,03079936,True,True,True,True
67,49.2,Vizion Wealth Chartered Financial Planners,565523,tier_4,1,44,1,ifa,+4401908920043,MK11 1SY,www.vizionwealth.co.uk,1,1.0,18,100,40,multi_asset_cautious,40,Authorised,OC367088,True,True,True,True
68,49.0,Acumen Financial Planning,218745,tier_3,4,96,1,ifa,+441224392350,EH3 7TH,www.acumenfp.com,2,1.0,25,90,40,multi_asset_cautious,40,Authorised,SC215343,True,True,True,False
69,49.0,Secure For Life Wealth Management,535515,tier_3,2,89,1,ifa,+441256405460,SA4 3EY,https://rosemountfs-ifa.co.uk/,2,1.0,25,90,40,multi_asset_cautious,40,Authorised,05668905,True,True,True,False
70,49.0,Citygate Financial Planning,647956,tier_3,2,94,2,ifa,+4402035763995,TN4 9JU,https://citygatefp.co.uk/,2,1.0,25,90,40,multi_asset_cautious,40,Authorised,09188423,True,True,True,False
71,48.8,IPS Capital,471375,tier_4,2,87,2,fa_restricted,+442074696830,EC3M 1AE,www.ipscap.com,1,1.0,22,100,30,multi_asset_cautious,35,Authorised,OC328405,True,True,True,True
72,48.8,London Wealth Ltd,479377,tier_4,1,104,1,fa_restricted,+4402033262955,WC2H 8EE,www.londonwm.co.uk,1,1.0,22,100,30,multi_asset_cautious,35,Authorised,06462818,True,True,True,True
73,48.4,Peregrine & Black Investment Management Limited,757727,tier_4,1,73,0,ifa,+442037501801,W1J 8BA,www.peregrineblack.com,1,1.0,16,100,40,multi_asset_cautious,40,Authorised,09796196,True,True,True,True
74,48.4,Henry Spain Investment Services,811723,tier_4,1,21,0,ifa,+4401858898023,LE16 7AF,https://www.henryspain.co.uk/,1,1.0,16,100,40,multi_asset_cautious,40,Authorised,07118506,True,True,True,True
75,48.4,Smith & Pinching Financial Services Ltd,186616,tier_4,1,54,0,ifa,+441603789966,NR3 2RY,www.smith-pinching.co.uk,1,1.0,16,100,40,multi_asset_cautious,40,Authorised,03487726,True,True,True,True
76,48.2,Perceptive Planning Limited,534666,tier_4,3,54,0,ifa,+4402071172084,CM8  3EU,www.perceptiveplanning.co.uk,2,1.0,23,90,40,multi_asset_cautious,40,Authorised,06923012,True,True,True,False
77,47.8,Aretian Wealth Management Limited,960483,tier_4,4,55,2,ifa,+442045264444,W1F 8WE,www.aretianwealth.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,07101143,True,True,True,False
78,47.8,HF WEALTH LTD,814844,tier_4,4,62,1,ifa,+4403304010777,LS29 9LD,www.hfwealth.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,11241475,True,True,True,False
79,47.8,Bluecoat Wealth Management Ltd,223112,tier_4,3,59,2,ifa,+441403334455,BN42 4BW,www.bestpractice.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,04490633,True,True,True,False
80,47.8,Waterbridge Financial Planning Limited,734536,tier_4,2,58,2,ifa,+4401226447755,S36 6BZ,www.waterbridgewealth.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,09883876,True,True,True,False
81,47.8,Transform Financial Planning,608975,tier_4,2,51,1,ifa,+4401313152222,EH21 6RR,transformfp.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,SC456760,True,True,True,False
82,47.8,Kingsfleet,514731,tier_4,2,99,1,ifa,+4401473744724,IP6 0AE,kingsfleetwealth.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,07051136,True,True,True,False
83,47.8,Bedrock Private Wealth,197107,tier_4,1,100,1,ifa,+4402920351465,W1S 4PN,www.validpath.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,04273538,True,True,True,False
84,47.8,Maitland James Financial Planning,581304,tier_4,1,210,1,ifa,+4401484504900,NN1 1PN,www.sandringham.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,08022795,True,True,True,False
85,47.8,Expert Independent Financial Planning Limited,914522,tier_4,1,193,1,ifa,+447702570828,HA1 1BD,www.expertifp.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,10710796,True,True,True,False
86,47.8,Future Start Independent Financial Planning Limited,736240,tier_4,1,153,1,ifa,+4401923909339,WD24 4QP,www.futurestartfinancialplanning.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,09048509,True,True,True,False
87,47.8,Advies Private Clients LLP,937655,tier_4,1,132,1,ifa,+442038823160,EC3A 6DQ,www.advies.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,OC319179,True,True,True,False
88,47.8,Ethical Adviser (UK) Limited,923809,tier_4,1,123,1,ifa,+447940521997,B72 1JF,www.ethicaladviser.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,11261622,True,True,True,False
89,47.8,New Vision Wealth Strategies Ltd,470102,tier_4,1,190,1,ifa,+4401477537722,CW4 7LT,www.newvision-ifa.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,06122685,True,True,True,False
90,47.8,Live Smart Financial Planning,778483,tier_4,1,161,1,ifa,+441133572121,LS4 2EW,www.livesmartfp.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,10725083,True,True,True,False
91,47.8,Berry & Oak,787328,tier_4,1,167,1,ifa,+4401937223055,LS23 6AD,www.berryandoak.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,09940516,True,True,True,False
92,47.8,ARBORHEATH LIMITED,937373,tier_4,1,169,1,ifa,+4407867508539,RG26 3DZ,www.arborheath.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,12842362,True,True,True,False
93,47.8,KWL Wealth Management,911629,tier_4,1,212,1,ifa,+447908829756,DT4 9TH,www.kwlwealth.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,11929320,True,True,True,False
94,47.6,MWC Group,973440,tier_4,4,6,0,ifa,+447769343556,NG23 6LG,www.mwcgroup.ch,2,0.88,14,100,40,multi_asset_cautious,40,Authorised,,True,True,True,True
95,47.4,Freedom Wealth Management,924298,tier_3,2,163,2,fa_restricted,+442890229798,BT37 0UW,www.freedom-financial.co.uk,1,1.0,26,90,30,multi_asset_cautious,35,Authorised,NI610500,True,True,True,False
96,47.0,N2 Asset Management Limited,837211,tier_4,2,24,0,ifa,+441932216050,KT11 3NE,www.n2-am.com,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,11709460,True,True,True,False
97,47.0,Footes Financial Planning,692441,tier_4,1,158,0,ifa,+441212225655,B31 2TS,www.footes-financialplanning.co.uk,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,07485042,True,True,True,False
98,47.0,Cordiner Wealth,611188,tier_4,1,257,0,ifa,+4401132621242,LS7 4RF,www.cordinerwealth.co.uk,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,08453762,True,True,True,False
99,47.0,Lynas Vokes Investments Limited,436040,tier_4,1,110,0,ifa,+4401406424950,PE12 8AB,www.lynasvokes.co.uk,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,02734319,True,True,True,False
100,47.0,Advice Matters Financial Planning Ltd,779172,tier_4,1,150,0,ifa,+447811333844,LA9 5DR,www.advicemattersfinancialplanning.com,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,10658430,True,True,True,False
101,46.8,clarity Limited,185468,tier_4,1,4,0,ifa,+4408003687511,GU21 6HR,www.clarityglobal.com,1,1.0,12,100,40,multi_asset_cautious,40,Authorised,03466459,True,True,True,True
102,46.2,Cullen Wealth Limited,,tier_2,22,523,4,ifa,03300388942,,,8,0.38,51,60,18,multi_asset_cautious,30,,,False,,,
103,46.2,David James Wealth USA Limited,188611,tier_4,1,39,1,ifa,+4401372844344,WC1V 7JZ,www.blacktowerfm.com,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,03500648,True,True,True,False
104,46.2,Essex Financial Planners,453773,tier_4,1,53,1,ifa,+4401702347734,SS0 7LX,www.essexfp.com,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,04343938,True,True,True,False
105,46.2,C A Financial Services,964558,tier_4,1,93,1,ifa,+441732617950,TN15 6QE,www.cafinancialservices.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,10149085,True,True,True,False
106,46.2,AGILITY Financial Advisers,496257,tier_4,1,39,1,ifa,+4401494680848,HP12 3PR,www.agilityfinancial.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,06785682,True,True,True,False
107,46.2,Tandem Financial Ltd,726448,tier_4,1,45,1,ifa,+441438879262,SG4 8JD,http://www.tandemfinancial.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,See full details,09778504,True,True,True,False
108,46.2,Coleshill Wealth Management,950748,tier_4,1,69,1,ifa,+441675467196,B46 3BJ,www.coleshillmortgages.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,05711103,True,True,True,False
109,46.2,8 Financial Planning Limited,958869,tier_4,1,83,1,ifa,+441952442088,TF1 6QJ,www.8fp.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,13162956,True,True,True,False
110,46.2,Britannic Place Financial Management,588420,tier_4,1,24,1,ifa,+4401905419890,WR5 2HE,www.britannicplace.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,See full details,05899086,True,True,True,False
111,46.2,O'Sullivan Financial Planning Ltd,951030,tier_4,1,64,1,ifa,+4401536639007,NN6 9HF,https://osullivanfp.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,11095517,True,True,True,False
112,46.2,Becketts F.S. Ltd,409051,tier_4,1,34,1,ifa,+4401253881910,FY6 8JX,www.beckettsfs.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,See full details,05122604,True,True,True,False
113,46.2,Consilium Asset Management Ltd,469507,tier_4,1,27,1,ifa,+4401454321511,BS37 6AA,https://consilium-ifa.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,04838547,True,True,True,False
114,46.2,Lazenby's Financial Services,811996,tier_4,1,52,1,ifa,+4401133220700,LS8 2LQ,www.lazenbysfs.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,08241393,True,True,True,False
115,46.2,Red Star Wealth Management Limited,948639,tier_4,1,67,1,ifa,+441253486346,FY8 9LB,www.redstarwealth.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,08012302,True,True,True,False
116,46.2,Good Green Money,975586,tier_4,1,21,1,ifa,+4401254247913,BB6 8HN,www.goodgreenmoney.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,14088618,True,True,True,False
117,46.2,Agile Independent Financial Advice Ltd,789159,tier_4,1,45,1,ifa,+4407850971802,LS4 2EW,www.agileifa.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,10541420,True,True,True,False
118,46.2,UNA VITA FINANCIAL PLANNING LIMITED,930699,tier_4,1,39,1,ifa,+441691320022,SY11 2HG,www.unavita.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,12655138,True,True,True,False
119,46.2,Santorini Financial Planning Ltd,585145,tier_4,1,84,1,ifa,+4401509278620,E14 9SR,www.santorinifinancialplanning.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,07472685,True,True,True,False
120,46.2,Atkins Bland Ltd,184046,tier_4,1,55,1,ifa,+4401202861617,BH22 9JG,www.atkinsbland.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,03044873,True,True,True,False
121,46.2,Star Financial Planning,213326,tier_4,1,50,1,ifa,+4401923605555,DT3 4JE,www.starfp.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,04435265,True,True,True,False
122,45.8,Venture Knoll,440703,tier_4,1,130,1,fa_restricted,+442075625800,BA2 4BA,www.quilter.com,1,1.0,22,90,30,multi_asset_cautious,35,Authorised,05506637,True,True,True,False
123,45.6,Browns Wealth Management,475370,tier_4,1,17,1,fa_restricted,+442033018746,W1S 1JY,www.brownadvisory.com,1,1.0,14,100,30,multi_asset_cautious,35,Authorised,06363486,True,True,True,True
124,45.5,Ascot Lloyd Financial Planning,144519,tier_3,2,91,1,fa_restricted,+4403454757500,EH2 2LL,,2,0.88,25,90,15,multi_asset_cautious,35,Authorised,01447544,True,True,True,False
125,45.4,Fibonacci Finance,825734,tier_4,1,22,0,ifa,+447730570631,SG14 1AJ,www.fibonaccifinance.co.uk,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,09675038,True,True,True,False
126,45.4,Elm Tree Financial Services Limited,511619,tier_4,1,33,0,ifa,+441925815555,WA1 4LZ,www.elmtreeifa.co.uk,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,07050523,True,True,True,False
127,45.4,Seventy Financial Planning,756248,tier_4,1,77,0,ifa,+441423611004,HG3 1EQ,www.seventyfinancialplanning.com,1,1.0,16,90,40,multi_asset_cautious,40,See full details,08266271,True,True,True,False
128,45.4,Berkshire IFA Limited,826120,tier_4,1,50,0,ifa,+441183343500,RG40 1BJ,www.berkshireifa.com,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,11248066,True,True,True,False
129,45.4,Clear Vision Financial Planning Ltd,561927,tier_4,1,53,0,ifa,+4401234853395,MK43 8RU,www.clearvisionfp.co.uk,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,07514108,True,True,True,False
130,45.4,Future Planning,705061,tier_4,1,93,0,ifa,+441793575553,SN1 1SD,www.futureplanningwm.co.uk,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,09566818,True,True,True,False
131,45.4,Achieve Financial Planning Ltd,513673,tier_4,1,37,0,ifa,+4401463630631,IV1 1LP,www.achievefp.com,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,SC367766,True,True,True,False
