FRN,Firm Name,Type,Type Source,Status,City,Postcode,Phone,Website,Companies House,Adviser Count,Reviews,Top Rated,Adviser Types,Cities Count,In Ground Truth,In VouchedFor
,Adcas Financial Management Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,2,287,2,ifa,1,False,True
,Adelp Financial Solutions Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,123,1,ifa,1,False,True
195786,Advance Investments Limited,ifa,FCA_PERMISSIONS,Authorised,Bath,BA1 6PL,+4401225338600,www.advanceinvestments.com,04175803,,,,,0,True,False
,Advance Wealth Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,4,380,4,ifa,1,False,True
,Advanced IFA Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,2,37,,ifa,1,False,True
,Advanced Mortgages Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,42,,mortgage_limited,1,False,True
779172,Advice Matters Financial Planning Ltd,ifa,VOUCHEDFOR,Authorised,Lancaster,LA9 5DR,+447811333844,www.advicemattersfinancialplanning.com,10658430,1,150,,ifa,1,False,True
,Advice Rooms,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,1,51,1,ifa,1,False,True
,Advice2U,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,138,1,ifa,1,False,True
188139,Advicorp Public Limited Company,institution,FCA_PERMISSIONS,Authorised,London,SW1A 1RE,+4402079934311,www.advicorp.com,03419717,,,,,0,True,False
937655,Advies Private Clients LLP,ifa,VOUCHEDFOR,Authorised,London,EC3A 6DQ,+442038823160,www.advies.co.uk,OC319179,1,132,1,ifa,1,False,True
624298,Aegis Financial Planning Limited,ifa,VOUCHEDFOR,Authorised,London,EC2N 2AT,+443333582233,https://www.aegisfp.com,08946610,1,40,,ifa,1,False,True
144267,Aegon Asset Management UK plc,platform,FCA_PERMISSIONS,Authorised,Edinburgh,EH12 9SA,+4408005289989,www.aegonam.com,SC113505,,,,,0,True,False
,Aevum Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,01172950022,,,1,75,1,ifa,1,False,True
,Affinity Financial Advisors Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,123,1,ifa,1,False,True
,Affinity Financial Management Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,154,1,ifa,1,False,True
,Affirma Financial Planning Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,87,1,fa_restricted,1,False,True
789159,Agile Independent Financial Advice Ltd,ifa,VOUCHEDFOR,Authorised,Leeds,LS4 2EW,+4407850971802,www.agileifa.co.uk,10541420,1,45,1,ifa,1,False,True
,Agile Life Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,01273434285,,,1,74,,fa_restricted,1,False,True
192807,Ainsworths Financial Services Limited,ifa,FCA_PERMISSIONS,Authorised,Nelson,BB9 9XY,+4401282695111,www.afsl.info,04000799,,,,,0,True,False
,Aitana Financial Services,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,3,138,2,fa_restricted,2,False,True
,Alan Dunn Financial Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,26,1,fa_restricted,1,False,True
,Alan Ellis Financial Services Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,3,5,,ifa,3,False,True
,Alan Foden,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,1,8,,fa_restricted,1,False,True
,Alan Rutherford Wealth Management Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,01224228770,,,4,159,3,fa_restricted,1,False,True
114423,Alan Steel (Asset Management) Limited,ifa,FCA_PERMISSIONS,Authorised,Linlithgow,EH49 7HU,+4401506842365,www.alansteel.com,SC058014,,,,,0,True,False
191543,Alan Thompson,ifa,FCA_PERMISSIONS,Authorised,Sheffield,S21 1BF,+4407806666529,,,,,,,0,True,False
,Alastair May Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,44,1,fa_restricted,1,False,True
,Albany Finance,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,37,,ifa,1,False,True
,Albert & Mae Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,1,15,1,fa_restricted,1,False,True
148300,Albert Goodman Financial Planning Limited,ifa,FCA_PERMISSIONS,Authorised,Taunton,TA1 2PX,+4401823286096,www.albertgoodman.co.uk,02989819,,,,,0,True,False
,Albon Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,98,1,ifa,1,False,True
175725,Albourne Partners Limited,ifa,FCA_PERMISSIONS,Authorised,London,SW1E 5JD,+442073467000,www.albourne.com,02905244,,,,,0,True,False
,Alexander Bell Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,45,1,mortgage_limited,1,False,True
154485,Alexander Hall Associates Limited,ifa,FCA_PERMISSIONS,Authorised,London,WC1V 6PL,+4407875801000,www.alexanderhall.co.uk,02726296,,,,,0,True,False
192936,Algo Capital Management Limited,institution,FCA_PERMISSIONS,Authorised,London,W1S 4AP,+4402079938882,www.algocapital.com,03757478,,,,,0,True,False
,Align Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,12,,fa_restricted,1,False,True
1037866,Aligned Wealth Financial Planning,ifa,VOUCHEDFOR,Appointed representative,Haywards Heath,RH16 1LS,+4407963269117,,16459377,1,69,1,fa_restricted,1,False,True
,All Aspects Financial Planning Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,28,1,ifa,1,False,True
,All Kinds of Mortgages,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,29,1,mortgage_adviser,1,False,True
,All Things Mortgages,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,89,1,mortgage_adviser,1,False,True
147956,AllianceBernstein Limited,institution,FCA_PERMISSIONS,Authorised,London,EC2M 5SJ,+442074700100,www.alliancebernstein.com,02551144,,,,,0,True,False
121849,Allianz Insurance Plc,ifa,FCA_PERMISSIONS,Authorised,Guildford,GU1 1DB,+4401483568161,www.allianz.co.uk,00084638,,,,,0,True,False
190608,Allspring Global Investments (UK) Limited,institution,FCA_PERMISSIONS,Authorised,London,EC4M 6XH,+442045517564,www.allspringglobal.com,03710963,,,,,0,True,False
,Alpe Wealth Management Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,55,1,fa_restricted,1,False,True
135327,Alpha Bank London Limited,ifa,FCA_PERMISSIONS,Authorised,London,EC4N 7BL,+4402073326767,www.alphabanklondon.co.uk,00185070,,,,,0,True,False
928939,Alpha-Omega Financial Services Ltd,ifa,VOUCHEDFOR,Appointed representative,Ipswich,IP10 0BF,+4401473659639,https://www.ao-fs.co.uk/,06260805,1,13,1,fa_restricted,1,False,True
183239,Alta Advisers Limited,institution,FCA_PERMISSIONS,Authorised,London,W1W 8BF,+442075905010,,03150197,,,,,0,True,False
,Altior Asset Management Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,1,57,1,ifa,1,False,True
147392,Altorfer Financial Management Limited,institution,FCA_PERMISSIONS,Authorised,Waltham Cross,EN8 7AF,+441992654654,www.altorfer.co.uk,02486396,,,,,0,True,False
191168,Altree Capital (UK) Ltd.,ifa,FCA_PERMISSIONS,Authorised,London,SW1Y 5ES,+4402071019290,www.altreecapital.com,03830585,,,,,0,True,False
,Altrincham Mortgages,ifa,VOUCHEDFOR,Assumed Authorised,,,01612198576,,,1,48,1,mortgage_adviser,1,False,True
185291,Amadeus Capital Partners Limited,ifa,FCA_PERMISSIONS,Authorised,Cambridge,CB5 8AB,+4403300240777,www.amadeuscapital.com,03392685,,,,,0,True,False
150115,Amar Financial Services,ifa,FCA_PERMISSIONS,Authorised,Hayes,UB4 0AN,+442088483267,,,,,,,0,True,False
198024,Amati Global Investors Limited,institution,FCA_PERMISSIONS,Authorised,Edinburgh,EH3 7AL,+4401315039100,www.amatiglobal.com,SC199908,,,,,0,True,False
,Amazing Mortgage Solutions Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,02035510160,,,1,7,,mortgage_adviser,1,False,True
,Ambasna Wealth Solutions LLP,ifa,VOUCHEDFOR,Assumed Authorised,,,02035510160,,,1,19,,mortgage_limited,1,False,True
,Amber River East Anglia,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,1,270,1,ifa,1,False,True
,Amber River HDA,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,6,402,3,ifa,2,False,True
,Amber River Johnston Financial,ifa,VOUCHEDFOR,Assumed Authorised,,,01312680099,,,4,32,2,ifa,1,False,True
779397,Amber River Leodis Wealth,ifa,VOUCHEDFOR,Authorised,Chesterfield,S40 1LA,+4401246903053,www.milestonefp.co.uk,04517317,10,161,2,ifa,3,False,True
,Amber River Midlands,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,9,107,7,ifa,3,False,True
,Amber River NI,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,15,139,,ifa,1,False,True
,Amber River SFIA,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,2,126,,ifa,2,False,True
456896,Amber River Shipman Wealth,ifa,VOUCHEDFOR,Authorised,Exeter,EX5 2FN,+448081754433,www.amberriver.com/sw,02837635,9,163,1,ifa,3,False,True
,Amber River True Bearing,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,10,333,3,ifa,4,False,True
,Amethyst Independent Financial Advisers LLP,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,2,170,1,ifa,1,False,True
188130,Amius Limited,ifa,FCA_PERMISSIONS,Authorised,London,WC2B 5SQ,+442072687700,WWW.Amius.Com,03576013,,,,,0,True,False
,Amjen Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,01312680014,,,1,10,1,fa_restricted,1,False,True
114503,Amundi (UK) Limited,institution,FCA_PERMISSIONS,Authorised,London,EC2R 5BJ,+442070749300,https://www.amundi.co.uk,01753527,,,,,0,True,False
,Anderson King,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,8,,ifa,1,False,True
,Anderton & Associates Financial Planning Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,48,1,fa_restricted,1,False,True
134905,Andrew Colyer-Worsell,ifa,FCA_PERMISSIONS,Authorised,Watford,WD18 8YA,+441923882333,www.fixmypension.com,,,,,,0,True,False
121743,Andrew Kent & Partners Limited,ifa,FCA_PERMISSIONS,Authorised,London,SW12 9AL,+4402086735691,,01367478,,,,,0,True,False
189368,Andrew O'Connor,ifa,FCA_PERMISSIONS,Authorised,Bridgwater,TA7 0BN,+4401278661399,www.intouchinvestments.co.uk,,,,,,0,True,False
,Andrew Skinner Wealth Management Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,1,107,1,fa_restricted,1,False,True
,Andrews Wealth Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,35,,fa_restricted,1,False,True
,Andy Cole Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,1,19,1,fa_restricted,1,False,True
139421,Anglo-Saxons Friendly Society Limited,ifa,FCA_PERMISSIONS,Authorised,Gravesend,DA11 8HN,+4401474567050,graveshamfriendly.co.uk,,,,,,0,True,False
,Angus Watson Wealth Management Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,10,,fa_restricted,1,False,True
136631,Anil Tanna,ifa,FCA_PERMISSIONS,Authorised,Sutton,SM3 9NL,+442086441408,,,,,,,0,True,False
,Anna Gidman Wealth Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,33,1,ifa,1,False,True
,Anne Wray Independent Financial Adviser,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,90,1,ifa,1,False,True
,Anns and Grange Associates,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,34,1,fa_restricted,1,False,True
188365,Anthony Marshall,ifa,FCA_PERMISSIONS,Authorised,London,EC4Y 0DT,+4402073539764,,,,,,,0,True,False
,Antler Wealth Management Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,02035446810,,,1,66,,fa_restricted,1,False,True
,Anytime Mortgages Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,160,1,mortgage_adviser,1,False,True
