Rank,Priority Score,Category,FRN,Firm Name,Town,Postcode,Phone,Website,Adviser Count,Advises on Investments,Retail Clients,Manages Investments,Pension Transfers,Collective Investment Schemes,Life Policies,Professional Clients,Is AR,Principal FRN,Principal Name,Companies House Number,PIMFA Member,Has Disciplinary History,Data Confidence,Core Score,Fund Distribution Score,Firm Size Score,Multi Asset Cautious Fit,Multi Asset Income Fit,UK Equity Income Fit,Global Equity Fit,Corporate Bond Fit
68,74,ifa,484589,BTIG Limited,London,EC2N 3AR,+4402076631700,www.btig.com,174,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
69,74,ifa,596081,QMPF Llp,Edinburgh,EH3 8BL,+4401312222600,www.qmpf.co.uk,33,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
70,74,ifa,593052,Ragnar Capital Partners LLP,London,W1W 7LT,+4402072361177,www.ragnarcapital.com,37,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
71,74,ifa,209819,RFC AMBRIAN LIMITED,London,EC2V 6AA,+4402034406800,www.rfcambrian.com,129,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
72,74,ifa,219675,Strata Technology Partners LLP,London,W1B 5FE,+4402077301200,www.strata-partners.com,47,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
73,74,ifa,656022,Vobis Limited,Leeds,LS1 5SH,+443300021601,www.vobiset.com,19,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
74,74,ifa,146629,Shore Capital and Corporate Limited,London,SW1A 1LD,+442074084050,https://www.shorecap.co.uk/,90,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
75,74,ifa,196462,Campbell Lutyens & Co. Ltd,London,SW1Y 5AN,+4402074397191,www.campbell-lutyens.com,233,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
76,74,ifa,564741,Gildencrest Capital Limited,London,E14 5AA,+442030484764,www.gildencrestcapital.co.uk,24,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
77,74,ifa,652972,Asset Risk Consultants (UK) Limited,London,EC4A 1BR,+442039462860,www.assetrisk.com,53,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
78,74,ifa,708666,Illiquidx Limited,London,W14 8NS,+442078320163,www.illiquidx.com,26,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
79,74,ifa,196124,Trevally Capital Advisers Ltd,London,WC2N 6DF,+4402038899600,https://www.trevallycapitaladvisers.co.uk/,52,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
80,74,ifa,150126,MGP Investment Management Limited,Manchester,M15 4NJ,+4401618398229,http://mgp-investments.com/,12,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
81,74,ifa,476417,BPH Wealth Management LLP,Harpenden,AL5 4ES,+4401582461122,https://bphwealth.co.uk/,19,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
82,74,ifa,417722,Arlingclose Limited,London,WC2R 1AT,+447702788303,www.arlingclose.com,53,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
83,74,ifa,602082,Currency Solutions Limited,London,SE1 2BG,+4402077400000,www.currencysolutions.com,24,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
84,74,ifa,188821,Kinmont Limited,London,W1S 2LG,+4402070879100,www.kinmontadvisory.co.uk,22,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
85,74,ifa,580056,Abans Global Limited,London,W1D 6JG,+442038685803,http://www.abansglobal.co.uk/index.html,20,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
86,74,ifa,182011,Canaccord Genuity Limited,London,EC2V 7QR,+4402075238000,www.cgf.com,1011,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
87,74,ifa,692447,KHEPRI ADVISERS LIMITED,London,WC2A 1DT,+442033765900,www.khepri.com,484,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
88,74,ifa,568323,Singer Capital Markets Advisory LLP,London,EC2N 2AX,+442074963000,http://www.SingerCM.com/,156,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
89,74,ifa,190270,Marechale Capital PLC,London,EC2M 1JH,+4402076285582,www.marechalecapital.com,63,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
90,74,ifa,402740,Jamieson Corporate Finance LLP,London,SW1Y 4LR,+442033103737,www.jamiesoncf.com,48,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
91,74,ifa,671108,Lumon Risk Management Ltd,London,EC1M 3HE,+4402033847280,www.lumonpay.com,39,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
92,74,ifa,799741,Featherstone Partners Limited,Yattendon,RG18 0UE,+441635778888,http://www.featherstonepartners.co.uk/,13,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
93,74,ifa,760668,First Sentinel Corporate Finance Limited,London,SW1A 1RD,+442038555551,https://first-sentinel.com,26,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
94,74,ifa,792919,Houlihan Lokey UK Limited,London,W1J 5HD,+4402078393355,www.hl.com,290,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
95,74,ifa,843450,Financial Framework Wealth & Estate Planning Limited,Otley,LS21 3JP,+441943663143,www.financialframework.co.uk,15,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
96,74,ifa,921450,DW 2020 Limited,Carlisle,CA1 2RW,+4401228530913,www.doddwealthcare.co.uk,13,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
97,74,ifa,966305,Convera UK Financial Limited,London,EC2A 1AH,+4402075396960,www.convera.com/en-gb/,132,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
98,74,ifa,950811,Rothschild & Co Equity Markets Solutions Limited,London,EC4N 8AL,+442072805000,www.rothschildandco.com,81,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
99,74,ifa,533039,Titan Settlement & Custody Ltd,London,W1U 1QU,+442070814042,www.titansettlementandcustody.com,91,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
100,74,ifa,148549,FUTURE PLANET CAPITAL (VENTURES) LIMITED,Manchester,M3 3AA,+442031310105,www.futureplanetcapital.com,53,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
101,74,ifa,524856,Mercia Fund Management Limited,Henley-in-Arden,B95 5AA,+443302231430,www.mercia.co.uk,60,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
102,74,ifa,717605,Tifosy Limited,London,SW1Y 4JH,+442078717668,www.tifosy.com,25,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
103,74,ifa,467766,Cavendish Capital Markets Limited,London,EC1A 7BL,+4402072200500,www.cavendish.com,281,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
104,74,ifa,466588,KROLL SECURITIES LTD.,London,SE1 9SG,+4402070890927,www.kroll.com,775,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
105,73,ifa,513993,Donre Advisory Limited,Brighton,BN1 4EA,,,41,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,73,78,73,63,68
106,71,ifa,595861,WG Partners LLP,London,EC2V 7NQ,+4402037059330,,22,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,71,76,71,61,66
107,71,ifa,194522,GE Vernova Financial Services Limited,London,W6 8PW,+447770815869,,140,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,71,76,71,61,66
108,69,ifa,817231,UNLU SECURITIES UK LIMITED,London,W1K 5JH,+4402046136874,https://www.unluco.uk,12,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
109,69,ifa,492519,Guardian Stockbrokers Ltd,London,EC4Y 0AB,+4402076386996,www.guardianstockbrokers.com,17,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
110,69,ifa,531771,XPRIME MARKETS LIMITED,Whitstable,CT5 1HP,+442039518060,xprime.co.uk,15,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
111,69,ifa,223376,1291 GROUP UK LTD.,,TR19 6AS,+4403330124751,www.ukassetmanager.com,6,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
112,69,ifa,656427,Smart Currency Options Limited,Hammersmith,W6 0NB,+442078980541,www.smartcurrencybusiness.com,18,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
113,69,ifa,453251,JPM Asset Management Limited,Reading,RG6 1PT,+4401184181818,www.jpmasset.co.uk,5,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
114,69,ifa,577611,Quantfury Trading UK Limited,London,W1J 8HY,+4401214540770,https://quantfury.co.uk/,15,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
115,69,ifa,114341,F.H. MANNING FINANCIAL SERVICES LIMITED,Horncastle,LN9 6DX,+4401507527383,www.fhmanning.co.uk,9,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
116,69,ifa,479172,MILKSTONE LIMITED,Salford,M3 5DY,+4401618509899,www.milkstone.co.uk,11,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
117,69,ifa,221553,Ashik Shah & Co Limited,London,W1W 7TL,+4402039876248,www.ashikshah.com,10,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
118,69,ifa,612233,ALCHEMY PRIME LIMITED,London,EC1V 8AR,+442070978794,www.alchemyprime.uk,11,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
119,69,ifa,587094,Annandale Financial Services LLP,Dumfries,DG1 2AA,+4401387267523,www.annandalefinancial.co.uk,9,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
120,69,ifa,176508,CROWD FOR ANGELS (UK) LIMITED,London,SE8 3DX,+4402074372413,https://crowdforangels.com/,17,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
121,69,ifa,468821,DBL Asset Management LLP,Wilmslow,SK9 5EQ,+4401625529499,www.dbl-am.com,5,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
122,69,ifa,499724,SRP Risk & Finance LLP,London,W1W 5PF,+4407802855991,www.s-r-p.co.uk,11,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
123,69,ifa,435492,Struan Financial Management Limited,Ringwood,BH24 2EQ,+4401425483266,www.struanfm.co.uk,8,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
124,69,ifa,613572,BRIGHT HARBOUR ADVISORY LLP,London,EC1M 4NB,+442078706400,www.brightharbour.co,12,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
125,69,ifa,441587,Communications Equity Associates International LLP,London,EC2V 6EE,+4402072804886,www.ceaworldwide.com,14,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
126,69,ifa,751087,WiseAlpha Technologies Limited,London,E14 5AB,+4402039272790,www.wisealpha.com,12,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
127,69,ifa,224914,Sardis Capital Limited,London,SW13 8HW,+442087487175,www.sardiscapital.com,12,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
128,69,ifa,626364,CRADLE OVERSEAS PENSIONS LIMITED,Calne,SN11 9QY,+441249811116,https://www.cradleltd.co.uk/,8,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
129,69,ifa,490575,CheckRisk LLP,Sherborne,DT9 4QG,+447788976768,https://www.checkrisk.co.uk,13,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
130,69,ifa,487904,BLUE RIVER WEALTH MANAGEMENT LIMITED,Lymm,WA13 9SD,+441925873020,www.blueriverwealth.com,7,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
131,69,ifa,928946,Financial Options (N.E.) Limited,Aberdeenshire,AB43 9AR,+441346510536,https://financialoptionsneltd.com,5,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
132,69,ifa,959424,LGT Bank AG,Vaduz,FL9490,+4232351122,www.lgt.com,11,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
133,69,ifa,963725,Gneiss Energy Limited,London,W1K 7DA,+442039836792,www.gneissenergy.com,14,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,15,69,74,69,59,64
134,69,ifa,933488,Renaissance Financial Ltd,Brighton,BN1 3TE,+4401273031777,www.renaissancefinancial.co.uk,8,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,10,69,74,69,59,64
