rank,priority_score,firm_name,frn,size_tier,adviser_count,total_reviews,top_rated_advisers,adviser_types,phone,postcode,website,cities_count,data_confidence,size_score,permission_score,distribution_score,top_mandate_category,top_mandate_score,fca_status,companies_house,fca_enriched,advises_retail,pension_transfers,manages_investments
37,51.0,Columbia Threadneedle REP AM Limited,119283,tier_2,162,0,0,,+442074645000,EC4N 6AG,www.rep.columbiathreadneedle.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01133893,True,True,True,True
38,51.0,W1M Wealth Management Limited,120776,tier_2,158,0,0,,+4402046172000,SW1Y 6AH,https://www.w1m.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02080604,True,True,True,True
39,51.0,Thesis Asset Management Limited,114354,tier_2,151,0,0,,+441243753415,PO19 1UP,www.thesisam.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01802101,True,True,True,True
40,51.0,W1M Asset Management Limited,143286,tier_2,138,0,0,,+4402046172000,SW1Y 6AH,https://www.w1m.com/,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02112588,True,True,True,True
41,51.0,Financial Administration Services Limited,122169,tier_2,137,0,0,,+4401732361144,KT20 6RP,www.fidelity.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01629709,True,True,True,True
42,51.0,J & E Davy (UK) Limited,172140,tier_2,126,0,0,,+442890310655,BT1 5GB,www.DavyUK.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,NI028952,True,True,True,True
43,51.0,Jordan International Bank Plc,183722,tier_2,126,0,0,,+4402031440200,SW1Y 6QW,www.jordanbank.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01814093,True,True,True,True
44,51.0,Credo Capital Limited,192204,tier_2,124,0,0,,+4402079688300,NW1 5DX,www.credogroup.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,03681529,True,True,True,True
45,51.0,Blackfinch Investments Limited,153860,tier_2,123,0,0,,+4401452717070,GL53 9PQ,www.blackfinch.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02705948,True,True,True,True
46,51.0,RATHBONES ASSET MANAGEMENT LIMITED,144266,tier_2,122,0,0,,+4402073990000,EC2V 7QN,http://www.rathbones.com/,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02376568,True,True,True,True
47,51.0,Fiske Plc,124279,tier_2,116,0,0,,+4402074484700,EC2V 7AN,www.fiskeplc.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02248663,True,True,True,True
48,51.0,Courtiers Investment Services Limited,124995,tier_2,116,0,0,,+4401491578368,RG9 2AU,www.courtiers.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01387954,True,True,True,True
49,51.0,National Bank of Kuwait (International) Plc,171532,tier_2,111,0,0,,+4402072242277,W1U 3QJ,www.nbk.com/london,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02773743,True,True,True,True
50,51.0,Dart Capital Limited,137569,tier_2,104,0,0,,+442071314000,EC2V 7BG,evelyn.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02146006,True,True,True,True
51,50.9,Sandringham Financial Partners,,tier_2,23,1613,22,ifa,03300388942,,,17,0.25,61,60,25,multi_asset_cautious,30,Assumed Authorised,,False,,,
52,50.1,2plan wealth management Limited,461598,tier_2,13,777,6,ifa,+4401133021360,LS11 5BZ,www.2plan.com,12,0.62,54,60,45,multi_asset_cautious,30,Authorised,05998270,True,True,True,False
53,49.5,Owl Financial,,tier_1,36,2347,30,fa_restricted|protection_limited|protection_whole_of_market,01132385317,,,23,0.25,70,50,15,multi_asset_cautious,25,Assumed Authorised,,False,,,
54,49.5,NINETY ONE UK LIMITED,122420,tier_2,449,0,0,,+442039382000,EC2V 7EL,www.ninetyone.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,02036094,True,True,True,True
55,49.5,Threadneedle International Limited,143014,tier_2,437,0,0,,+442074645000,EC4N 6AG,www.columbiathreadneedle.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,02283244,True,True,True,True
56,49.5,Aegon Asset Management UK plc,144267,tier_2,426,0,0,,+4408005289989,EH12 9SA,www.aegonam.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,SC113505,True,True,True,True
57,49.5,Skandinaviska Enskilda Banken AB (Publ),124943,tier_2,358,0,0,,+442072464000,EC4V 5AN,https://sebgroup.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,BR000979,True,True,True,True
58,49.5,Renaissance Capital Limited,186891,tier_2,327,0,0,,+4402070057777,W1H 6DU,www.rencap.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,03059237,True,True,True,True
59,49.5,Amundi (UK) Limited,114503,tier_2,305,0,0,,+442070749300,EC2R 5BJ,https://www.amundi.co.uk,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,01753527,True,True,True,True
60,49.5,ITI Capital Limited,171487,tier_2,304,0,0,,+4402075628000,EC2R 8AY,www.iticapital.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,02926252,True,True,True,True
61,49.5,"William Blair International, Ltd",189068,tier_2,303,0,0,,+4402078684440,EC2N 4BQ,www.williamblair.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,03619027,True,True,True,True
62,49.5,GAM London Limited,122330,tier_2,297,0,0,,+4402074939990,EC2M 7GB,www.gam.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,00874802,True,True,True,True
63,49.5,SHORE CAPITAL STOCKBROKERS LIMITED,124784,tier_2,284,0,0,,+442074084050,SW1A 1LD,https://www.shorecap.co.uk/,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,01850105,True,True,True,True
64,49.5,RBC Global Asset Management (UK) Limited,189154,tier_2,283,0,0,,+4402076534000,EC2N 4AA,https://www.rbcgam.com/en/landing,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,03647343,True,True,True,True
65,49.5,Atomos Investments Limited,122588,tier_2,252,0,0,,+4403301656600,SE1 9PG,www.atomos.co.uk,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,02041819,True,True,True,True
66,49.5,Dimensional Fund Advisors Ltd.,150100,tier_2,235,0,0,,+442030333300,NW1 3BF,www.dimensional.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,02569601,True,True,True,True
67,49.5,Lazard Asset Management Limited,121839,tier_2,217,0,0,,+4402075882721,W1U 3PZ,www.lazardnet.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,00525667,True,True,True,True
68,49.5,Winton Capital Management Limited,184258,tier_2,191,0,0,,+442085765800,SW3 1AF,www.winton.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,03311531,True,True,True,True
69,49.5,Blackfriars Asset Management Limited,180892,tier_2,131,0,0,,+4402073322273,EC4N 6HL,www.blackfriarsam.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,03173991,True,True,True,True
70,49.5,Natixis Investment Managers UK Limited,190258,tier_2,110,0,0,,+442034056000,EC4R 2YA,http://www.im.natixis.com/,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,03680538,True,True,True,True
71,49.5,Hartmann Capital Limited,192815,tier_2,108,0,0,,+4402074569100,EC2M 7LD,www.hartmanncapital.com,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,03918455,True,True,True,True
72,49.5,Investcorp Securities Limited,139122,tier_2,106,0,0,,+4402076296600,W1K 3HW,https://www.investcorp.com/,0,0.5,45,85,20,multi_asset_cautious,20,Authorised,02217792,True,True,True,True
73,49.0,City Asset Management Plc,122483,tier_3,89,0,0,,+4402073242920,EC2N 3AR,www.city-asset.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,02215617,True,True,True,True
74,49.0,Franklin Templeton Fund Management Limited,122222,tier_3,82,0,0,,+4402070738500,EC4N 6HL,www.franklintempleton.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,01938417,True,True,True,True
75,49.0,GHC CAPITAL MARKETS LTD.,152998,tier_3,82,0,0,,+4401162045500,LE1 5BD,www.ghcl.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,03113332,True,True,True,True
76,49.0,MHA Wealth Limited,143715,tier_3,81,0,0,,+441604621421,NN4 7HD,www.mha.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,01916615,True,True,True,True
77,49.0,Cooper Parry Wealth Limited,197193,tier_3,80,0,0,,+4401332411163,DE74 2SA,www.cooperparrywealth.com,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,04220777,True,True,True,True
78,49.0,Bordier & Cie (UK) PLC,114324,tier_3,75,0,0,,+442076676600,SW1Y 6QY,www.bordieruk.com,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,01583393,True,True,True,True
79,49.0,First Equity Limited,124394,tier_3,70,0,0,,+4402073742212,EC2M 5QQ,www.firstequitylimited.com,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,02019652,True,True,True,True
80,49.0,Amati Global Investors Limited,198024,tier_3,68,0,0,,+4401315039100,EH3 7AL,www.amatiglobal.com,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,SC199908,True,True,True,True
81,49.0,Church House Investments Limited,190548,tier_3,67,0,0,,+4401935382620,DT9 4JW,www.ch-investments.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,03475556,True,True,True,True
82,49.0,HFMC Asset Management Limited,194722,tier_3,65,0,0,,+4402074004700,EC1M 4NA,www.hfmcam.com,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,03891979,True,True,True,True
83,49.0,Whitechurch Securities Limited,114318,tier_3,61,0,0,,+4401174521206,BS6 6PH,www.whitechurch.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,01576951,True,True,True,True
84,49.0,Charteris Treasury Portfolio Managers Limited,114952,tier_3,59,0,0,,+4402072209780,CR0 2LX,www.charteris.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,01830771,True,True,True,True
85,49.0,BRI Wealth Management PLC,122499,tier_3,56,0,0,,+4401676523550,CV5 9RL,www.brigroup.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,00727301,True,True,True,True
86,49.0,SL Investment Management Limited,148002,tier_3,55,0,0,,+4401244317999,CH1 3BQ,www.slinvest.co.uk,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,02485382,True,True,True,True
87,49.0,McInroy & Wood Ltd,121926,tier_3,54,0,0,,+4401620825867,EH41 3SF,http://www.mcinroy-wood.co.uk/,0,0.5,40,90,20,multi_asset_cautious,20,Authorised,SC100377,True,True,True,True
88,48.0,Forester Life Limited,177898,tier_2,492,0,0,,+4402086283400,BR2 9BF,www.foresters.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02997655,True,True,True,False
89,48.0,Liverpool Victoria Financial Advice Services Limited,186890,tier_2,438,0,0,,+448006816294,BH1 2NF,www.lv.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03027145,True,True,True,False
90,48.0,Atomos Financial Planning Limited,193503,tier_2,400,0,0,,+4403301656600,BS2 0JA,www.atomos.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03879955,True,True,True,False
91,48.0,ERNST & YOUNG LLP,196203,tier_2,394,0,0,,+442079512000,SE1 2AF,www.ey.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,OC300001,True,True,True,False
92,48.0,WINTERFLOOD SECURITIES LIMITED,141455,tier_2,387,0,0,,+4402031000000,EC4R 3GA,www.winterflood.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02242204,True,True,True,False
93,48.0,THE CO-OPERATIVE BANK P.L.C.,121885,tier_2,383,0,0,,+4403457212212,M4 4BE,www.co-operativebank.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,00990937,True,True,True,False
94,48.0,AIB GROUP (UK) P.L.C.,122088,tier_2,374,0,0,,+443456005925,BT1 3HH,aibgb.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,NI018800,True,True,True,False
95,48.0,HFS Milbourne Financial Services Limited,125051,tier_2,368,0,0,,+442071314000,EC2V 7BG,evelyn.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02061008,True,True,True,False
96,48.0,Pi Financial Ltd,186419,tier_2,367,0,0,,+441743282222,SY3 7LU,http://pifinancial.co.uk/,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03556277,True,True,True,False
97,48.0,Fairstone Wealth Management Limited,188596,tier_2,358,0,0,,+441915196000,SR3 3XN,www.fairstone.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03593750,True,True,True,False
98,48.0,KW Wealth Planning Limited,114694,tier_2,289,0,0,,+442072930730,EC2N 2HG,www.kingswood-group.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,01265376,True,True,True,False
99,48.0,Capita Pension Solutions Limited,142484,tier_2,282,0,0,,+4402077094500,W2 6BD,https://www.capita.com/expertise/pensions,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02260524,True,True,True,False
100,48.0,SPF Private Clients Limited,189213,tier_2,261,0,0,,+442073308500,EC3V 0BT,www.spf.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03680970,True,True,True,False
101,48.0,Gallagher (Administration & Investment) Limited,115057,tier_2,198,0,0,,+4402074291000,EC2V 7AF,www.ajg.com/uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,01034719,True,True,True,False
102,48.0,PERSPECTIVE (SOUTH EAST) LIMITED,178690,tier_2,195,0,0,,+4401908257888,MK5 6LB,www.pfgl.co.uk/southeast,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03120930,True,True,True,False
103,48.0,Finli (G&P) Ltd,142752,tier_2,186,0,0,,+441609760960,DL6 2NA,www.finli.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02232959,True,True,True,False
104,48.0,Tom French & Associates Limited,185513,tier_2,164,0,0,,+4401752347070,PL7 5JX,www.tfagroup.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03445703,True,True,True,False
105,48.0,AJ Bell Securities Limited,155593,tier_2,159,0,0,,+4403454089100,M5 3EE,https://www.ajbell.co.uk/,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02723420,True,True,True,False
106,48.0,Blevins Franks Financial Management Limited,179731,tier_2,147,0,0,,+4402073895220,SW1Y 4JH,http://www.blevinsfranks.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03048100,True,True,True,False
107,48.0,Perspective (North East) Limited,150317,tier_2,134,0,0,,+4401912173340,NE13 6DS,www.pfgl.co.uk/northeast,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,04163906,True,True,True,False
108,48.0,HBL BANK UK LIMITED,188585,tier_2,119,0,0,,+442030844797,W1H 6DZ,www.hblbankuk.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,01719649,True,True,True,False
109,48.0,Gallagher Risk & Reward Limited,184711,tier_2,113,0,0,,+4402072048990,EC4N 8AW,https://www.ajg.com/uk/,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,03265272,True,True,True,False
110,48.0,Beckett Financial Services Limited,138104,tier_2,112,0,0,,+4401284754500,IP33 3TU,www.beckettinvest.com,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02190694,True,True,True,False
111,48.0,Frenkel Topping Limited,145186,tier_2,109,0,0,,+4401618868000,M50 2ZY,www.frenkeltopping.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02312427,True,True,True,False
112,48.0,Waystone Financial Investments Limited,169586,tier_2,106,0,0,,+4403459220044,LS1 4DL,www.fundsolutions.net,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02823982,True,True,True,False
113,48.0,Broadstone Financial Solutions Limited,134771,tier_2,101,0,0,,+4402038696900,EC2V 7AN,www.broadstone.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02131269,True,True,True,False
114,48.0,Greystone Financial Services Limited,154622,tier_2,100,0,0,,+4401619277222,WA15 8AB,www.greystonefs.co.uk,0,0.5,45,80,20,multi_asset_cautious,20,Authorised,02584903,True,True,True,False
115,47.8,AAB Wealth Chartered Financial Planners,608548,tier_2,13,588,9,ifa,+441224625111,LS1 2JG,www.aabwealth.uk,5,0.62,50,60,38,multi_asset_cautious,30,Authorised,SC386504,True,True,True,False
116,47.5,Oberon Investments Limited,124885,tier_3,96,0,0,,+4402031795300,SW1Y 6BN,www.oberoninvestments.com,0,0.5,40,85,20,multi_asset_cautious,20,Authorised,02198303,True,True,True,True
117,47.5,Valu-Trac Investment Management Limited,145168,tier_3,76,0,0,,+4401343880217,IV32 7QE,,0,0.38,40,90,5,multi_asset_cautious,20,Authorised,02428648,True,True,True,True
118,47.5,Keith Bayley Rogers & Co Limited,197385,tier_3,76,0,0,,+4402074644090,SW1H 0HW,www.kbrl.co.uk,0,0.5,40,85,20,multi_asset_cautious,20,Authorised,03676540,True,True,True,True
119,47.5,Kotak Mahindra (UK) Limited,171837,tier_3,74,0,0,,+442079776900,EC3N 1LS,,0,0.38,40,90,5,multi_asset_cautious,20,Authorised,02992399,True,True,True,True
120,47.5,SARASIN ASSET MANAGEMENT LIMITED,163584,tier_3,71,0,0,,+4402070387000,W1U 7DY,www.sarasinassetmanagement.com,0,0.5,40,85,20,multi_asset_cautious,20,Authorised,01497670,True,True,True,True
121,47.5,Epworth Investment Management Limited,175451,tier_3,64,0,0,,+4402074963636,WC1H 9SF,epworthim.com,0,0.5,40,85,20,multi_asset_cautious,20,Authorised,03052894,True,True,True,True
122,47.5,Colchester Global Investors Limited,191005,tier_3,59,0,0,,+4402072926920,EC2V 6DL,www.colchesterglobal.com,0,0.5,40,85,20,multi_asset_cautious,20,Authorised,03855960,True,True,True,True
123,47.5,R C Brown Investment Management Plc,146002,tier_3,52,0,0,,+4401179256073,BS1 6DG,www.rcbim.co.uk,0,0.5,40,85,20,multi_asset_cautious,20,Authorised,02489639,True,True,True,True
124,47.5,Optiva Securities Limited,181192,tier_3,51,0,0,,+442039814173,EC3R 6DP,www.optivasecurities.com,0,0.5,40,85,20,multi_asset_cautious,20,Authorised,03068464,True,True,True,True
125,47.0,David Booler & Company,146287,tier_3,77,0,0,,+441162407070,LE19 1SA,www.boolers.co.uk,0,0.38,35,90,20,multi_asset_cautious,20,Authorised,,True,True,True,True
126,46.6,GATE CAPITAL GROUP LTD.,189170,tier_3,49,0,0,,+442070788085,WC2H 9JQ,http://www.gatecapitalgroup.com/,0,0.5,34,90,20,multi_asset_cautious,20,Authorised,03631066,True,True,True,True
127,46.6,Titan Pensions & Investments Limited,143390,tier_3,46,0,0,,+4401536462700,NN14 1FN,www.titanpi.co.uk,0,0.5,34,90,20,multi_asset_cautious,20,Authorised,02318036,True,True,True,True
128,46.6,Johnston Financial Limited,131706,tier_3,45,0,0,,+4401315564540,EH12 9DT,www.amberriver.com/jf,0,0.5,34,90,20,multi_asset_cautious,20,Authorised,SC108188,True,True,True,True
129,46.6,SLATER INVESTMENTS LIMITED,165999,tier_3,43,0,0,,+442072209460,EC4R 0EU,www.slaterinvestments.com,0,0.5,34,90,20,multi_asset_cautious,20,Authorised,02863882,True,True,True,True
130,46.6,MM Wealth Ltd,148496,tier_3,42,0,0,,+4401223233331,CB3 0NA,www.mmwealth.co.uk,0,0.5,34,90,20,multi_asset_cautious,20,Authorised,01454074,True,True,True,True
131,46.6,J. EDWARD SELLARS AND PARTNERS LIMITED,116320,tier_3,36,0,0,,+4401934875910,BS21 6TZ,https://www.jesellars.co.uk/,0,0.5,34,90,20,multi_asset_cautious,20,Authorised,01201277,True,True,True,True
132,46.6,Premier Financial Management Ltd,189921,tier_3,31,0,0,,+4401628769122,SL7 1DP,amberriverpremier.com,0,0.5,34,90,20,multi_asset_cautious,20,Authorised,03350242,True,True,True,True
