rank,priority_score,firm_name,frn,size_tier,adviser_count,total_reviews,top_rated_advisers,adviser_types,phone,postcode,website,cities_count,data_confidence,size_score,permission_score,distribution_score,top_mandate_category,top_mandate_score,fca_status,companies_house,fca_enriched,advises_retail,pension_transfers,manages_investments
13,55.0,Apogee Wealth Management Ltd,503713,tier_3,10,321,8,ifa,+4401565757811,WA16 8GS,www.apogeewealth.co.uk,1,1.0,40,90,40,multi_asset_cautious,40,Authorised,06925283,True,True,True,False
14,55.0,Fairstone Financial Management Limited,475973,tier_3,5,475,2,ifa,+4401915196000,EC1V 2QH,www.fairstone.co.uk,5,1.0,38,90,48,multi_asset_cautious,40,Authorised,05574120,True,True,True,False
15,54.9,Argentis Wealth Management,,tier_1,68,4215,49,fa_restricted|ifa,02381159951,,,18,0.38,71,60,25,multi_asset_cautious,30,,,False,,,
16,54.6,Hartley Ross,924765,tier_3,5,347,3,ifa|mortgage_adviser,+443300581898,SL9 9EW,www.hartleyross.com,3,1.0,37,90,48,multi_asset_cautious,40,Authorised,12503797,True,True,True,False
17,54.2,InterestMe Financial Planning Ltd,542680,tier_3,5,744,5,ifa,+442038580660,EC3N 3AX,http://www.interestme.co.uk/,1,1.0,38,90,40,multi_asset_cautious,40,Authorised,07310886,True,True,True,False
18,54.1,The Private Office,,tier_2,48,5407,42,ifa,03300388942,,,19,0.38,69,60,25,multi_asset_cautious,30,,,False,,,
19,53.8,GPFM,195615,tier_3,6,449,4,ifa,+4401992500261,SG14 1JA,gpfm.co.uk,2,1.0,37,90,40,multi_asset_cautious,40,Authorised,04179541,True,True,True,False
20,53.8,The Aspire Partnership LLP,518833,tier_3,5,391,5,ifa,+4401179303510,RH16 1TX,www.aspirellp.co.uk,2,1.0,37,90,40,multi_asset_cautious,40,See full details,OC351804,True,True,True,False
21,53.2,Amber River Leodis Wealth,779397,tier_3,10,161,2,ifa,+4401246903053,S40 1LA,www.milestonefp.co.uk,3,1.0,41,80,48,multi_asset_cautious,40,Authorised,04517317,True,True,True,False
22,53.2,IronMarket Wealth,620330,tier_3,3,485,3,ifa,+4401782461563,ST5 9QA,www.net-worthntwrk.com/,1,1.0,28,100,40,multi_asset_cautious,40,See full details,08411874,True,True,True,True
23,52.6,Lucent Financial Planning Ltd,945107,tier_3,5,441,4,ifa,+441217051000,B91 3AB,www.lucentfinancialplanning.co.uk,1,1.0,34,90,40,multi_asset_cautious,40,Authorised,08191924,True,True,True,False
24,52.5,MKC Wealth,,tier_2,40,2441,29,ifa,03300388942,,,12,0.38,65,60,25,multi_asset_cautious,30,,,False,,,
25,52.5,Attivo Financial Ltd,,tier_2,39,2347,38,ifa,03300388942,,,15,0.38,65,60,25,multi_asset_cautious,30,,,False,,,
26,52.5,Forvis Mazars,,tier_2,32,2317,25,ifa,01132385317,,,13,0.38,65,60,25,multi_asset_cautious,30,,,False,,,
27,51.8,Fingerprint Financial Planning,481803,tier_3,5,115,2,ifa|mortgage_adviser,+4403452100100,ME4 4TZ,www.ff-p.co.uk,1,1.0,32,90,40,multi_asset_cautious,40,Authorised,06039623,True,True,True,False
28,51.8,Rowley Turton (IFA) Limited,457946,tier_3,3,708,3,ifa,+4401162822177,LE19 1WL,www.rowleyturton.com,1,1.0,32,90,40,multi_asset_cautious,40,Authorised,03145431,True,True,True,False
29,51.7,AFH Wealth Management,,tier_2,34,1679,18,ifa,03300388942,,,26,0.38,63,60,25,multi_asset_cautious,30,,,False,,,
30,50.9,Sandringham Financial Partners,,tier_2,23,1613,22,ifa,03300388942,,,17,0.38,61,60,25,multi_asset_cautious,30,,,False,,,
31,50.8,Fowler Drew,402423,tier_4,2,41,2,ifa,+4402077362434,EC4N 7HR,www.fowlerdrew.co.uk,1,1.0,22,100,40,multi_asset_cautious,40,Authorised,04384956,True,True,True,True
32,50.6,Niche Private Clients,748261,tier_3,3,303,1,ifa,+4401633851805,NP20 5NT,www.nichepc.co.uk,2,1.0,29,90,40,multi_asset_cautious,40,Authorised,10072360,True,True,True,False
33,50.6,Blackstone Financial Management Limited,630530,tier_3,2,130,2,ifa,+441614828285,CV35 7AD,blackstonefm.com,2,1.0,29,90,40,multi_asset_cautious,40,Authorised,09071142,True,True,True,False
34,50.6,Willow Financial Planning Limited,577482,tier_3,2,134,1,ifa,+4401702442198,CO4 5AB,www.willowfinancial.co.uk,2,1.0,29,90,40,multi_asset_cautious,40,Authorised,07907502,True,True,True,False
35,50.5,Succession Wealth,,tier_2,33,1167,9,ifa|mortgage_adviser,01172957680,,,21,0.38,60,60,25,multi_asset_cautious,30,,,False,,,
36,50.3,Stephenson Johnson Financial Planning Ltd,419684,tier_3,4,540,3,ifa,+4401482308874,HU13 9PB,,1,0.88,32,90,25,multi_asset_cautious,40,Authorised,05269611,True,True,True,False
37,50.2,Tailored Financial Planning Ltd,720808,tier_3,4,396,4,ifa,+441744757648,WA10 1SX,http://www.tailoredfp.co.uk/,1,1.0,28,90,40,multi_asset_cautious,40,Authorised,09707423,True,True,True,False
38,50.2,Bluesky Chartered Financial Planners,914561,tier_3,4,259,3,ifa,+441189876655,RG41 5DF,www.blueskyifas.co.uk,1,1.0,28,90,40,multi_asset_cautious,40,Authorised,11936113,True,True,True,False
39,50.2,Walden Capital,491834,tier_3,3,423,3,ifa,+4401799521017,CB10 1AT,www.waldencapital.co.uk,1,1.0,28,90,40,multi_asset_cautious,40,See full details,06458084,True,True,True,False
40,50.2,Insight Wealth Financial Advisers Ltd,941825,tier_3,3,332,3,ifa,+441604316101,NN7 2DT,www.insightwealth.co.uk,1,1.0,28,90,40,multi_asset_cautious,40,Authorised,12948998,True,True,True,False
41,50.0,MVAM Financial Advice,613008,tier_3,4,24,1,fa_restricted,+4401306776999,E20 1JN,mvam.com,2,1.0,25,100,30,multi_asset_cautious,35,See full details,08600041,True,True,True,True
42,50.0,EQ Investors,539422,tier_4,3,45,0,fa_restricted,+442074887110,SW12 9NS,www.eqinvestors.co.uk,3,1.0,23,100,38,multi_asset_cautious,35,Authorised,07223330,True,True,True,True
43,49.8,Ecclesiastical Financial Advisory Services Limited,126123,tier_3,4,24,2,ifa,+443457773322,GL3 4AW,www.ecclesiastical.com,3,1.0,25,90,48,multi_asset_cautious,40,Authorised,02046087,True,True,True,False
44,49.5,Owl Financial,,tier_1,36,2347,30,fa_restricted|protection_limited|protection_whole_of_market,01132385317,,,23,0.38,70,50,15,multi_asset_cautious,25,,,False,,,
45,49.4,Prydis Wealth Limited,432014,tier_3,5,49,0,ifa|mortgage_adviser,+4401392432431,EX1 1NT,www.prydis.com,1,1.0,26,90,40,multi_asset_cautious,40,See full details,04319996,True,True,True,False
46,49.4,Whateley Wealth Management Ltd,715678,tier_3,3,229,2,ifa,+441212858528,B45 8AS,www.whateleywm.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,09125961,True,True,True,False
47,49.4,Clear Financial Advice,447235,tier_3,2,395,2,ifa,+4401268710720,CM11 1PU,www.clearifa.com,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,05070654,True,True,True,False
48,49.4,Profusion Wealth Management Limited,487395,tier_3,2,290,2,ifa,+441326210904,DE1 1EE,www.visionifp.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,06650476,True,True,True,False
49,49.4,MHW,830162,tier_3,2,173,2,ifa,+441519286778,L3 9NY,http://www.mhwifa.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,09305214,True,True,True,False
50,49.4,Saulsbury Independent Financial Planning Ltd,789577,tier_3,2,238,1,ifa,+441872560358,TR4 8UN,www.saulsburyifp.co.uk,1,1.0,26,90,40,multi_asset_cautious,40,Authorised,10391786,True,True,True,False
51,49.2,Vizion Wealth Chartered Financial Planners,565523,tier_4,1,44,1,ifa,+4401908920043,MK11 1SY,www.vizionwealth.co.uk,1,1.0,18,100,40,multi_asset_cautious,40,Authorised,OC367088,True,True,True,True
52,49.0,Acumen Financial Planning,218745,tier_3,4,96,1,ifa,+441224392350,EH3 7TH,www.acumenfp.com,2,1.0,25,90,40,multi_asset_cautious,40,Authorised,SC215343,True,True,True,False
53,49.0,Secure For Life Wealth Management,535515,tier_3,2,89,1,ifa,+441256405460,SA4 3EY,https://rosemountfs-ifa.co.uk/,2,1.0,25,90,40,multi_asset_cautious,40,Authorised,05668905,True,True,True,False
54,49.0,Citygate Financial Planning,647956,tier_3,2,94,2,ifa,+4402035763995,TN4 9JU,https://citygatefp.co.uk/,2,1.0,25,90,40,multi_asset_cautious,40,Authorised,09188423,True,True,True,False
55,48.2,Perceptive Planning Limited,534666,tier_4,3,54,0,ifa,+4402071172084,CM8  3EU,www.perceptiveplanning.co.uk,2,1.0,23,90,40,multi_asset_cautious,40,Authorised,06923012,True,True,True,False
56,47.8,Aretian Wealth Management Limited,960483,tier_4,4,55,2,ifa,+442045264444,W1F 8WE,www.aretianwealth.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,07101143,True,True,True,False
57,47.8,HF WEALTH LTD,814844,tier_4,4,62,1,ifa,+4403304010777,LS29 9LD,www.hfwealth.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,11241475,True,True,True,False
58,47.8,Bluecoat Wealth Management Ltd,223112,tier_4,3,59,2,ifa,+441403334455,BN42 4BW,www.bestpractice.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,04490633,True,True,True,False
59,47.8,Waterbridge Financial Planning Limited,734536,tier_4,2,58,2,ifa,+4401226447755,S36 6BZ,www.waterbridgewealth.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,09883876,True,True,True,False
60,47.8,Transform Financial Planning,608975,tier_4,2,51,1,ifa,+4401313152222,EH21 6RR,transformfp.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,SC456760,True,True,True,False
61,47.8,Kingsfleet,514731,tier_4,2,99,1,ifa,+4401473744724,IP6 0AE,kingsfleetwealth.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,07051136,True,True,True,False
62,47.8,Bedrock Private Wealth,197107,tier_4,1,100,1,ifa,+4402920351465,W1S 4PN,www.validpath.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,04273538,True,True,True,False
63,47.8,Maitland James Financial Planning,581304,tier_4,1,210,1,ifa,+4401484504900,NN1 1PN,www.sandringham.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,08022795,True,True,True,False
64,47.8,Future Start Independent Financial Planning Limited,736240,tier_4,1,153,1,ifa,+4401923909339,WD24 4QP,www.futurestartfinancialplanning.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,09048509,True,True,True,False
65,47.8,Advies Private Clients LLP,937655,tier_4,1,132,1,ifa,+442038823160,EC3A 6DQ,www.advies.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,OC319179,True,True,True,False
66,47.8,New Vision Wealth Strategies Ltd,470102,tier_4,1,190,1,ifa,+4401477537722,CW4 7LT,www.newvision-ifa.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,06122685,True,True,True,False
67,47.8,Live Smart Financial Planning,778483,tier_4,1,161,1,ifa,+441133572121,LS4 2EW,www.livesmartfp.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,10725083,True,True,True,False
68,47.8,Berry & Oak,787328,tier_4,1,167,1,ifa,+4401937223055,LS23 6AD,www.berryandoak.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,09940516,True,True,True,False
69,47.8,ARBORHEATH LIMITED,937373,tier_4,1,169,1,ifa,+4407867508539,RG26 3DZ,www.arborheath.co.uk,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,12842362,True,True,True,False
70,47.8,KWL Wealth Management,911629,tier_4,1,212,1,ifa,+447908829756,DT4 9TH,www.kwlwealth.com,1,1.0,22,90,40,multi_asset_cautious,40,Authorised,11929320,True,True,True,False
71,47.6,MWC Group,973440,tier_4,4,6,0,ifa,+447769343556,NG23 6LG,www.mwcgroup.ch,2,0.88,14,100,40,multi_asset_cautious,40,Authorised,,True,True,True,True
72,47.4,One Four Nine Wealth Limited,,tier_2,23,869,14,ifa|mortgage_adviser,01157740279,,,5,0.38,54,60,18,multi_asset_cautious,30,,,False,,,
73,47.0,Footes Financial Planning,692441,tier_4,1,158,0,ifa,+441212225655,B31 2TS,www.footes-financialplanning.co.uk,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,07485042,True,True,True,False
74,47.0,Cordiner Wealth,611188,tier_4,1,257,0,ifa,+4401132621242,LS7 4RF,www.cordinerwealth.co.uk,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,08453762,True,True,True,False
75,47.0,Lynas Vokes Investments Limited,436040,tier_4,1,110,0,ifa,+4401406424950,PE12 8AB,www.lynasvokes.co.uk,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,02734319,True,True,True,False
76,47.0,Advice Matters Financial Planning Ltd,779172,tier_4,1,150,0,ifa,+447811333844,LA9 5DR,www.advicemattersfinancialplanning.com,1,1.0,20,90,40,multi_asset_cautious,40,Authorised,10658430,True,True,True,False
77,46.2,Cullen Wealth Limited,,tier_2,22,523,4,ifa,03300388942,,,8,0.38,51,60,18,multi_asset_cautious,30,,,False,,,
78,46.2,David James Wealth USA Limited,188611,tier_4,1,39,1,ifa,+4401372844344,WC1V 7JZ,www.blacktowerfm.com,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,03500648,True,True,True,False
79,46.2,Essex Financial Planners,453773,tier_4,1,53,1,ifa,+4401702347734,SS0 7LX,www.essexfp.com,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,04343938,True,True,True,False
80,46.2,C A Financial Services,964558,tier_4,1,93,1,ifa,+441732617950,TN15 6QE,www.cafinancialservices.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,10149085,True,True,True,False
81,46.2,AGILITY Financial Advisers,496257,tier_4,1,39,1,ifa,+4401494680848,HP12 3PR,www.agilityfinancial.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,06785682,True,True,True,False
82,46.2,Tandem Financial Ltd,726448,tier_4,1,45,1,ifa,+441438879262,SG4 8JD,http://www.tandemfinancial.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,See full details,09778504,True,True,True,False
83,46.2,Coleshill Wealth Management,950748,tier_4,1,69,1,ifa,+441675467196,B46 3BJ,www.coleshillmortgages.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,05711103,True,True,True,False
84,46.2,8 Financial Planning Limited,958869,tier_4,1,83,1,ifa,+441952442088,TF1 6QJ,www.8fp.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,13162956,True,True,True,False
85,46.2,Britannic Place Financial Management,588420,tier_4,1,24,1,ifa,+4401905419890,WR5 2HE,www.britannicplace.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,See full details,05899086,True,True,True,False
86,46.2,O'Sullivan Financial Planning Ltd,951030,tier_4,1,64,1,ifa,+4401536639007,NN6 9HF,https://osullivanfp.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,11095517,True,True,True,False
87,46.2,Becketts F.S. Ltd,409051,tier_4,1,34,1,ifa,+4401253881910,FY6 8JX,www.beckettsfs.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,See full details,05122604,True,True,True,False
88,46.2,Consilium Asset Management Ltd,469507,tier_4,1,27,1,ifa,+4401454321511,BS37 6AA,https://consilium-ifa.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,04838547,True,True,True,False
89,46.2,Lazenby's Financial Services,811996,tier_4,1,52,1,ifa,+4401133220700,LS8 2LQ,www.lazenbysfs.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,08241393,True,True,True,False
90,46.2,Red Star Wealth Management Limited,948639,tier_4,1,67,1,ifa,+441253486346,FY8 9LB,www.redstarwealth.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,08012302,True,True,True,False
91,46.2,Good Green Money,975586,tier_4,1,21,1,ifa,+4401254247913,BB6 8HN,www.goodgreenmoney.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,14088618,True,True,True,False
92,46.2,Agile Independent Financial Advice Ltd,789159,tier_4,1,45,1,ifa,+4407850971802,LS4 2EW,www.agileifa.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,10541420,True,True,True,False
93,46.2,UNA VITA FINANCIAL PLANNING LIMITED,930699,tier_4,1,39,1,ifa,+441691320022,SY11 2HG,www.unavita.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,12655138,True,True,True,False
94,46.2,Santorini Financial Planning Ltd,585145,tier_4,1,84,1,ifa,+4401509278620,E14 9SR,www.santorinifinancialplanning.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,07472685,True,True,True,False
95,46.2,Atkins Bland Ltd,184046,tier_4,1,55,1,ifa,+4401202861617,BH22 9JG,www.atkinsbland.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,03044873,True,True,True,False
96,46.2,Star Financial Planning,213326,tier_4,1,50,1,ifa,+4401923605555,DT3 4JE,www.starfp.co.uk,1,1.0,18,90,40,multi_asset_cautious,40,Authorised,04435265,True,True,True,False
97,45.8,Venture Knoll,440703,tier_4,1,130,1,fa_restricted,+442075625800,BA2 4BA,www.quilter.com,1,1.0,22,90,30,multi_asset_cautious,35,Authorised,05506637,True,True,True,False
98,45.5,Ascot Lloyd Financial Planning,144519,tier_3,2,91,1,fa_restricted,+4403454757500,EH2 2LL,,2,0.88,25,90,15,multi_asset_cautious,35,Authorised,01447544,True,True,True,False
99,45.4,Fibonacci Finance,825734,tier_4,1,22,0,ifa,+447730570631,SG14 1AJ,www.fibonaccifinance.co.uk,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,09675038,True,True,True,False
100,45.4,Elm Tree Financial Services Limited,511619,tier_4,1,33,0,ifa,+441925815555,WA1 4LZ,www.elmtreeifa.co.uk,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,07050523,True,True,True,False
101,45.4,Seventy Financial Planning,756248,tier_4,1,77,0,ifa,+441423611004,HG3 1EQ,www.seventyfinancialplanning.com,1,1.0,16,90,40,multi_asset_cautious,40,See full details,08266271,True,True,True,False
102,45.4,Berkshire IFA Limited,826120,tier_4,1,50,0,ifa,+441183343500,RG40 1BJ,www.berkshireifa.com,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,11248066,True,True,True,False
103,45.4,Clear Vision Financial Planning Ltd,561927,tier_4,1,53,0,ifa,+4401234853395,MK43 8RU,www.clearvisionfp.co.uk,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,07514108,True,True,True,False
104,45.4,Future Planning,705061,tier_4,1,93,0,ifa,+441793575553,SN1 1SD,www.futureplanningwm.co.uk,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,09566818,True,True,True,False
105,45.4,Achieve Financial Planning Ltd,513673,tier_4,1,37,0,ifa,+4401463630631,IV1 1LP,www.achievefp.com,1,1.0,16,90,40,multi_asset_cautious,40,Authorised,SC367766,True,True,True,False
106,45.2,Newcastle Financial Advisers Limited,,tier_2,31,3391,31,fa_restricted|mortgage_limited,03300388942,,,9,0.38,61,50,8,multi_asset_cautious,25,,,False,,,
107,45.2,Eight Financial Advice,,tier_2,30,3847,28,fa_restricted,02381159951,,,7,0.38,61,50,8,multi_asset_cautious,25,,,False,,,
108,45.0,Westminster Wealth Management LLP,,tier_2,15,1331,14,ifa|mortgage_adviser,03300388942,,,6,0.38,48,60,18,multi_asset_cautious,30,,,False,,,
109,44.8,Newstead Clark Financial Services,707549,tier_4,3,29,1,ifa,+4401902912423,WV10 6TB,www.newsteadclark.co.uk,1,1.0,22,80,40,multi_asset_cautious,40,Authorised,04461132,True,True,True,False
110,44.8,New World Finance,460421,tier_4,1,295,1,mortgage_adviser,+4401702431130,SS6 7QA,www.newleafdistribution.co.uk,1,1.0,22,90,30,multi_asset_cautious,30,Authorised,05520001,True,True,True,False
111,44.8,IFT Wealth Management Ltd,828270,tier_4,1,117,1,ifa,+441422349131,HX2 0TQ,www.iftwm.com,1,1.0,22,80,40,multi_asset_cautious,40,Authorised,07325816,True,True,True,False
112,44.6,Venn Financial Planning,814106,tier_4,1,10,1,ifa,+441274003920,SE3 0TN,www.fintuity.com,1,1.0,14,90,40,multi_asset_cautious,40,Authorised,10849933,True,True,True,False
113,44.3,Rosedale Financial Management,473931,tier_4,1,126,1,ifa,+4401246567234,S42 7HG,,1,0.75,17,90,25,multi_asset_cautious,40,Authorised,,True,True,True,False
114,44.0,Delaunay Wealth Management Ltd,806635,tier_4,1,107,0,ifa,+443455053500,BN1 2RE,www.delaunaywealth.com,1,1.0,20,80,40,multi_asset_cautious,40,Authorised,08107472,True,True,True,False
115,43.8,Hoyl Independent Advisers Ltd,,tier_2,18,1316,9,ifa|mortgage_adviser|protection_whole_of_market,01603398010,,,6,0.38,45,60,18,multi_asset_cautious,30,,,False,,,
116,43.8,Forrester Boyd Wealth Management,,tier_2,12,958,12,ifa,03300388942,,,3,0.38,45,60,18,multi_asset_cautious,30,,,False,,,
117,43.8,Culverhouse Financial Planning Ltd - Chartered Financial Planners,600931,tier_4,1,7,0,ifa,+441689862211,BR6 7BQ,www.culverhouse-fp.co.uk,1,1.0,12,90,40,multi_asset_cautious,40,Authorised,08470047,True,True,True,False
118,43.8,GP3 Financial Solutions Ltd,575549,tier_4,1,6,0,ifa,+4401162718100,LE2 5SF,www.gp3fs.com,1,1.0,12,90,40,multi_asset_cautious,40,Authorised,04352144,True,True,True,False
119,43.7,Just Mortgages Direct Limited,,tier_2,20,1464,19,mortgage_adviser|mortgage_limited,03300388942,,,17,0.38,58,50,15,multi_asset_cautious,20,,,False,,,
120,43.2,Rootes Wealth Management Limited,998007,tier_4,1,63,1,ifa,+441732247360,TN9 1EP,www.rootes.co.uk,1,1.0,18,80,40,multi_asset_cautious,40,Authorised,14159023,True,True,True,False
121,42.6,Prosser Knowles Associates Limited,,tier_3,10,528,4,ifa,03300388938,,,4,0.38,42,60,18,multi_asset_cautious,30,,,False,,,
122,42.6,CMM Wealth Management Ltd,153566,tier_4,1,12,1,ifa,+4401233661960,YO43 3QZ,www.julianharris.net,1,0.88,9,90,40,multi_asset_cautious,40,Authorised,,True,True,True,False
123,42.4,Aegis Financial Planning Limited,624298,tier_4,1,40,0,ifa,+443333582233,EC2N 2AT,https://www.aegisfp.com,1,1.0,16,80,40,multi_asset_cautious,40,Authorised,08946610,True,True,True,False
124,42.4,Manfield Wealth Management Ltd,923347,tier_4,1,24,0,ifa,+4407738375448,SR3 3XW,www.manfieldwealth.co.uk,1,1.0,16,80,40,multi_asset_cautious,40,Authorised,12217582,True,True,True,False
125,42.4,Welby Associates,697372,tier_4,1,26,0,ifa,+4402892622910,BT28 2RF,www.welbyassociates.co.uk,1,1.0,16,80,40,multi_asset_cautious,40,Authorised,NI630504,True,True,True,False
126,42.2,Perspective (North East) Ltd,,tier_3,18,325,9,ifa,03300388942,,,7,0.38,41,60,18,multi_asset_cautious,30,,,False,,,
127,41.8,Wealthwise Financial Solutions Limited,937742,tier_4,1,166,1,ifa,+447950253923,NW11 0PU,www.wealthwisefs.co.uk,1,1.0,22,70,40,multi_asset_cautious,40,Authorised,12866490,True,True,True,False
128,41.7,Lawrence Clarke Ltd,0330038,tier_3,10,293,10,ifa,03300388942,PO15 5TD,,1,0.62,38,60,25,multi_asset_cautious,30,,,True,,,
129,41.4,Perspective (South East) Limited,,tier_3,11,260,2,ifa,01213476924,,,7,0.38,39,60,18,multi_asset_cautious,30,,,False,,,
130,41.4,Premier Financial Planning,,tier_3,8,888,5,ifa|mortgage_adviser,03300388940,,,6,0.38,39,60,18,multi_asset_cautious,30,,,False,,,
131,41.3,Viva Retirement Solutions,,tier_2,18,1671,16,equity_release_whole_of_market,03300388942,,,17,0.38,52,50,15,multi_asset_cautious,20,,,False,,,
132,41.3,Aviva Equity Release Advice,,tier_2,16,939,15,equity_release_limited|mortgage_adviser,01312680823,,,15,0.38,52,50,15,multi_asset_cautious,20,,,False,,,
133,41.0,Holden & Partners,,tier_3,10,427,9,ifa,03300388942,,,4,0.38,38,60,18,multi_asset_cautious,30,,,False,,,
134,41.0,Amber River True Bearing,,tier_3,10,333,3,ifa,03300388939,,,4,0.38,38,60,18,multi_asset_cautious,30,,,False,,,
135,40.2,Cooper Associates Mortgages,,tier_2,34,749,11,equity_release_whole_of_market|mortgage_adviser|mortgage_limited,01823429141,,,3,0.38,51,50,8,multi_asset_cautious,20,,,False,,,
136,40.2,Clarity Wealth Management,,tier_3,8,560,6,ifa,03300388940,,,4,0.38,36,60,18,multi_asset_cautious,30,,,False,,,
137,40.2,Wade Wealth Partners,,tier_3,5,744,4,ifa|mortgage_adviser,02081668476,,,4,0.38,36,60,18,multi_asset_cautious,30,,,False,,,
